Year,Job_Title,Country,Company_Type,Experience_Level,Salary_USD,Remote,Top_Skill
2023,ML Engineer,India,Freelance,Mid,40135,No,PyTorch
2026,Data Scientist,Germany,Big Tech,Entry,52990,No,PyTorch
2025,Data Analyst,UK,Freelance,Mid,113495,No,NLP
2026,AI Engineer,USA,Startup,Senior,224715,Yes,SQL
2022,Data Scientist,UK,Big Tech,Senior,161876,Yes,PyTorch
2025,Data Analyst,UK,Startup,Senior,186136,Yes,PyTorch
2023,ML Engineer,Canada,Big Tech,Entry,65009,Yes,PyTorch
2023,Data Analyst,Canada,Freelance,Senior,205182,No,NLP
2026,Data Analyst,Canada,Big Tech,Entry,58774,Yes,TensorFlow
2026,Data Analyst,UK,Big Tech,Mid,117438,Yes,TensorFlow
2024,AI Engineer,Canada,Startup,Entry,34366,Yes,SQL
2022,Data Analyst,India,Big Tech,Senior,49632,Yes,PyTorch
2025,NLP Engineer,USA,Freelance,Mid,78501,No,PyTorch
2025,NLP Engineer,Canada,Freelance,Entry,59795,No,PyTorch
2022,Data Analyst,Germany,Freelance,Senior,143897,No,SQL
2026,NLP Engineer,USA,Big Tech,Senior,158308,Yes,PyTorch
2023,Data Analyst,UK,Startup,Mid,89598,No,TensorFlow
2024,Data Analyst,Germany,Big Tech,Mid,99904,Yes,TensorFlow
2023,Data Scientist,USA,Startup,Entry,42984,Yes,SQL
2023,Data Analyst,USA,Freelance,Entry,65618,No,SQL
2026,NLP Engineer,USA,Startup,Mid,127301,No,NLP
2025,Data Analyst,UK,Startup,Senior,182260,No,NLP
2022,NLP Engineer,USA,Big Tech,Senior,187570,Yes,NLP
2024,Data Scientist,India,Big Tech,Entry,19364,No,SQL
2025,ML Engineer,Canada,Freelance,Mid,127380,No,PyTorch
2026,AI Engineer,Germany,Startup,Entry,42106,Yes,PyTorch
2026,NLP Engineer,India,Big Tech,Entry,20957,Yes,PyTorch
2023,AI Engineer,Germany,Big Tech,Mid,116547,No,NLP
2022,NLP Engineer,UK,Startup,Entry,51298,Yes,PyTorch
2025,Data Analyst,USA,Startup,Mid,112452,Yes,TensorFlow
2026,AI Engineer,India,Freelance,Senior,67554,No,TensorFlow
2025,AI Engineer,Germany,Big Tech,Entry,30697,No,Python
2026,ML Engineer,UK,Startup,Senior,184234,No,Python
2023,AI Engineer,UK,Big Tech,Entry,43789,Yes,TensorFlow
2022,Data Scientist,Canada,Big Tech,Senior,203452,No,Python
2022,NLP Engineer,Germany,Big Tech,Mid,90560,Yes,TensorFlow
2025,Data Scientist,USA,Big Tech,Mid,127159,Yes,SQL
2023,NLP Engineer,Germany,Startup,Entry,30538,No,NLP
2026,NLP Engineer,UK,Freelance,Mid,131492,No,NLP
2025,AI Engineer,Canada,Freelance,Entry,68944,Yes,SQL
2024,Data Scientist,UK,Startup,Entry,61792,Yes,PyTorch
2025,NLP Engineer,India,Big Tech,Entry,14068,No,PyTorch
2022,ML Engineer,Germany,Freelance,Senior,140273,Yes,SQL
2024,ML Engineer,USA,Startup,Entry,52206,No,PyTorch
2022,Data Analyst,Germany,Freelance,Mid,102077,No,PyTorch
2022,NLP Engineer,USA,Big Tech,Senior,177330,Yes,Python
2023,NLP Engineer,Canada,Startup,Senior,141031,Yes,PyTorch
2026,Data Analyst,Germany,Startup,Senior,190698,No,Python
2025,AI Engineer,India,Big Tech,Mid,46484,No,PyTorch
2025,AI Engineer,India,Freelance,Entry,19922,No,TensorFlow
2022,Data Analyst,Canada,Startup,Senior,169144,Yes,SQL
2026,AI Engineer,Canada,Big Tech,Senior,141889,Yes,TensorFlow
2026,ML Engineer,Germany,Big Tech,Senior,134080,Yes,SQL
2024,NLP Engineer,USA,Freelance,Mid,97142,Yes,PyTorch
2022,ML Engineer,India,Freelance,Mid,42491,No,PyTorch
2025,ML Engineer,India,Freelance,Entry,18055,Yes,Python
2024,Data Analyst,Germany,Freelance,Mid,86389,No,NLP
2026,Data Analyst,UK,Big Tech,Senior,155964,No,PyTorch
2024,ML Engineer,UK,Freelance,Mid,127708,No,Python
2024,Data Analyst,India,Big Tech,Senior,48970,Yes,NLP
2026,AI Engineer,USA,Big Tech,Entry,70808,Yes,SQL
2025,ML Engineer,USA,Big Tech,Mid,131098,No,Python
2024,NLP Engineer,India,Big Tech,Senior,62182,Yes,NLP
2022,ML Engineer,Germany,Startup,Senior,139096,Yes,PyTorch
2023,AI Engineer,USA,Startup,Mid,102993,No,PyTorch
2023,ML Engineer,Canada,Big Tech,Senior,151193,Yes,NLP
2025,NLP Engineer,UK,Big Tech,Senior,165243,No,PyTorch
2024,Data Scientist,India,Big Tech,Senior,49936,No,TensorFlow
2026,AI Engineer,India,Freelance,Mid,46158,Yes,PyTorch
2025,Data Scientist,UK,Big Tech,Senior,153329,No,Python
2025,AI Engineer,USA,Freelance,Senior,207663,No,TensorFlow
2023,NLP Engineer,Germany,Startup,Senior,150067,Yes,Python
2022,AI Engineer,India,Startup,Senior,51444,Yes,TensorFlow
2024,Data Analyst,UK,Startup,Entry,60885,No,SQL
2024,Data Analyst,Germany,Freelance,Mid,99761,Yes,SQL
2025,NLP Engineer,Germany,Startup,Mid,85064,Yes,PyTorch
2024,AI Engineer,Canada,Big Tech,Senior,188859,Yes,PyTorch
2022,NLP Engineer,Canada,Big Tech,Senior,142763,No,TensorFlow
2025,Data Scientist,UK,Startup,Entry,43940,Yes,SQL
2026,ML Engineer,India,Big Tech,Mid,34986,Yes,PyTorch
2022,Data Analyst,Canada,Big Tech,Mid,121023,Yes,PyTorch
2025,ML Engineer,Germany,Startup,Senior,197002,No,Python
2025,AI Engineer,UK,Startup,Mid,113778,Yes,Python
2024,ML Engineer,UK,Freelance,Entry,26945,Yes,NLP
2023,ML Engineer,Germany,Startup,Senior,193881,Yes,SQL
2026,AI Engineer,UK,Startup,Senior,133070,No,SQL
2026,AI Engineer,USA,Startup,Mid,88799,No,NLP
2022,Data Scientist,India,Big Tech,Mid,39562,No,NLP
2023,NLP Engineer,USA,Freelance,Senior,195023,Yes,Python
2025,Data Analyst,India,Freelance,Entry,20852,No,Python
2022,AI Engineer,Canada,Startup,Entry,32510,No,PyTorch
2026,NLP Engineer,Germany,Big Tech,Senior,139148,Yes,NLP
2023,Data Analyst,India,Startup,Mid,45690,No,PyTorch
2022,AI Engineer,India,Big Tech,Senior,52001,No,Python
2022,Data Scientist,USA,Big Tech,Entry,57747,Yes,NLP
2026,NLP Engineer,Germany,Freelance,Entry,51614,No,Python
2024,NLP Engineer,Germany,Big Tech,Entry,63661,Yes,PyTorch
2023,Data Scientist,Germany,Freelance,Mid,120975,Yes,PyTorch
2026,NLP Engineer,Canada,Freelance,Senior,183897,No,Python
2023,AI Engineer,Germany,Big Tech,Mid,79076,Yes,NLP
2025,Data Scientist,UK,Freelance,Senior,185786,Yes,PyTorch
2025,Data Analyst,Germany,Startup,Mid,118019,Yes,Python
2023,ML Engineer,Canada,Startup,Senior,171394,No,PyTorch
2026,Data Analyst,India,Big Tech,Entry,21430,No,Python
2024,NLP Engineer,India,Freelance,Senior,53780,No,NLP
2022,Data Scientist,UK,Big Tech,Entry,31892,No,TensorFlow
2022,Data Scientist,India,Freelance,Mid,27386,Yes,NLP
2026,AI Engineer,USA,Big Tech,Senior,157596,No,Python
2024,NLP Engineer,India,Freelance,Mid,31589,No,Python
2024,ML Engineer,Canada,Big Tech,Senior,170913,Yes,SQL
2025,NLP Engineer,India,Freelance,Entry,18374,No,SQL
2024,ML Engineer,USA,Freelance,Senior,199446,Yes,TensorFlow
2024,ML Engineer,UK,Startup,Entry,40452,Yes,Python
2023,Data Analyst,India,Freelance,Senior,71122,No,TensorFlow
2023,Data Analyst,USA,Big Tech,Mid,145844,Yes,TensorFlow
2026,Data Scientist,Germany,Big Tech,Mid,70100,No,Python
2022,NLP Engineer,Canada,Freelance,Mid,112736,Yes,PyTorch
2026,ML Engineer,Germany,Freelance,Mid,76874,No,Python
2024,Data Scientist,Canada,Freelance,Entry,25949,No,PyTorch
2026,NLP Engineer,Canada,Startup,Mid,90319,No,TensorFlow
2026,Data Scientist,Germany,Startup,Mid,106222,No,TensorFlow
2024,NLP Engineer,UK,Big Tech,Entry,64009,No,TensorFlow
2025,ML Engineer,Canada,Freelance,Entry,46331,No,SQL
2026,Data Scientist,India,Freelance,Mid,33505,Yes,SQL
2024,Data Analyst,UK,Startup,Entry,33169,Yes,NLP
2026,NLP Engineer,USA,Freelance,Mid,128883,Yes,SQL
2023,NLP Engineer,UK,Freelance,Mid,95618,Yes,PyTorch
2026,AI Engineer,India,Startup,Senior,69197,No,SQL
2024,NLP Engineer,India,Big Tech,Mid,37183,No,SQL
2023,NLP Engineer,UK,Big Tech,Entry,56644,Yes,NLP
2022,AI Engineer,USA,Startup,Mid,155129,Yes,PyTorch
2022,ML Engineer,India,Big Tech,Entry,18876,No,SQL
2025,Data Scientist,Germany,Startup,Entry,44973,No,SQL
2023,Data Scientist,Germany,Big Tech,Senior,182861,No,PyTorch
2026,Data Scientist,USA,Startup,Mid,149136,No,Python
2024,ML Engineer,Germany,Startup,Entry,39188,No,Python
2022,Data Analyst,Canada,Freelance,Entry,61841,Yes,TensorFlow
2025,Data Scientist,Canada,Big Tech,Entry,66008,Yes,NLP
2024,Data Scientist,Canada,Freelance,Senior,139531,No,PyTorch
2022,Data Analyst,Germany,Big Tech,Senior,188843,Yes,TensorFlow
2023,Data Scientist,Canada,Freelance,Mid,72340,No,SQL
2025,Data Analyst,UK,Startup,Entry,54993,Yes,Python
2023,Data Scientist,Germany,Big Tech,Senior,171146,No,TensorFlow
2022,ML Engineer,Germany,Big Tech,Entry,45928,No,PyTorch
2025,Data Analyst,India,Big Tech,Entry,21007,No,NLP
2024,Data Scientist,India,Startup,Mid,45556,No,TensorFlow
2022,Data Scientist,Germany,Freelance,Mid,98145,No,SQL
2025,AI Engineer,India,Startup,Senior,59401,No,Python
2022,Data Analyst,Germany,Freelance,Senior,142292,No,Python
2023,Data Scientist,UK,Freelance,Mid,93599,Yes,NLP
2023,Data Analyst,Germany,Big Tech,Mid,107373,No,PyTorch
2024,AI Engineer,UK,Startup,Entry,35411,No,NLP
2022,AI Engineer,Germany,Freelance,Mid,110108,No,SQL
2022,ML Engineer,USA,Big Tech,Entry,63921,No,TensorFlow
2022,NLP Engineer,Canada,Big Tech,Mid,122646,Yes,TensorFlow
2026,ML Engineer,USA,Startup,Entry,46168,Yes,TensorFlow
2026,NLP Engineer,Germany,Big Tech,Senior,195743,Yes,Python
2024,Data Analyst,India,Freelance,Mid,45583,Yes,SQL
2024,Data Scientist,India,Big Tech,Senior,51364,Yes,SQL
2025,NLP Engineer,USA,Startup,Senior,170027,Yes,TensorFlow
2023,AI Engineer,Canada,Big Tech,Entry,41886,No,SQL
2024,NLP Engineer,Canada,Startup,Senior,181760,Yes,SQL
2026,NLP Engineer,Germany,Freelance,Entry,24044,No,SQL
2026,Data Analyst,Canada,Freelance,Entry,60534,No,TensorFlow
2025,ML Engineer,India,Big Tech,Mid,42051,Yes,PyTorch
2025,Data Analyst,India,Startup,Mid,27766,No,TensorFlow
2025,ML Engineer,Germany,Freelance,Senior,149426,No,Python
2024,Data Analyst,UK,Startup,Entry,25647,No,SQL
2023,AI Engineer,Canada,Freelance,Mid,126512,No,NLP
2025,Data Analyst,Germany,Big Tech,Entry,28491,No,SQL
2023,NLP Engineer,Germany,Startup,Entry,42281,No,TensorFlow
2026,Data Scientist,USA,Big Tech,Entry,48531,No,TensorFlow
2022,Data Analyst,USA,Freelance,Senior,203132,No,Python
2025,NLP Engineer,India,Freelance,Mid,27372,No,TensorFlow
2024,NLP Engineer,Germany,Startup,Entry,65431,Yes,Python
2022,ML Engineer,Germany,Big Tech,Senior,175704,Yes,TensorFlow
2026,AI Engineer,UK,Big Tech,Senior,156248,No,NLP
2024,Data Analyst,USA,Big Tech,Mid,113487,No,Python
2026,Data Analyst,Germany,Freelance,Senior,184004,Yes,NLP
2025,ML Engineer,Canada,Freelance,Senior,199925,Yes,Python
2026,Data Scientist,UK,Startup,Mid,96189,No,SQL
2025,NLP Engineer,Canada,Big Tech,Senior,148406,Yes,NLP
2024,Data Analyst,Canada,Big Tech,Mid,103642,No,NLP
2024,AI Engineer,Canada,Big Tech,Entry,41578,No,SQL
2024,AI Engineer,UK,Freelance,Senior,166588,No,NLP
2024,AI Engineer,USA,Freelance,Senior,232315,No,TensorFlow
2023,AI Engineer,USA,Big Tech,Senior,193688,No,PyTorch
2023,ML Engineer,Canada,Big Tech,Senior,146231,Yes,SQL
2022,NLP Engineer,UK,Freelance,Entry,25784,No,PyTorch
2022,ML Engineer,USA,Freelance,Entry,60667,No,PyTorch
2023,AI Engineer,Germany,Big Tech,Senior,187416,Yes,NLP
2023,NLP Engineer,USA,Startup,Mid,81095,No,PyTorch
2023,AI Engineer,USA,Startup,Mid,129353,No,TensorFlow
2025,NLP Engineer,Canada,Big Tech,Entry,61000,Yes,Python
2024,ML Engineer,India,Freelance,Mid,24369,No,TensorFlow
2026,ML Engineer,UK,Freelance,Senior,162831,No,Python
2025,Data Scientist,UK,Startup,Mid,83881,No,PyTorch
2023,Data Analyst,Germany,Big Tech,Mid,118111,Yes,TensorFlow
2024,ML Engineer,USA,Freelance,Entry,65650,No,NLP
2024,Data Scientist,Germany,Big Tech,Senior,141628,No,SQL
2025,NLP Engineer,Germany,Big Tech,Senior,165941,Yes,SQL
2026,Data Scientist,Canada,Big Tech,Senior,180518,Yes,Python
2026,NLP Engineer,UK,Freelance,Senior,155653,No,Python
2023,NLP Engineer,India,Startup,Senior,49458,No,SQL
2026,Data Analyst,India,Freelance,Entry,22648,No,Python
2025,AI Engineer,USA,Freelance,Entry,75270,No,TensorFlow
2022,NLP Engineer,USA,Startup,Mid,102458,Yes,SQL
2025,AI Engineer,India,Big Tech,Mid,26103,Yes,TensorFlow
2022,ML Engineer,Canada,Big Tech,Senior,154783,Yes,Python
2024,Data Analyst,Canada,Big Tech,Senior,155308,Yes,PyTorch
2024,ML Engineer,Germany,Startup,Senior,190353,No,NLP
2022,ML Engineer,UK,Startup,Entry,64816,Yes,SQL
2022,Data Analyst,India,Startup,Senior,70642,Yes,SQL
2026,AI Engineer,UK,Freelance,Senior,175103,No,SQL
2024,ML Engineer,Canada,Startup,Mid,89736,Yes,PyTorch
2026,Data Analyst,USA,Big Tech,Senior,200682,No,PyTorch
2025,ML Engineer,Germany,Big Tech,Entry,60778,Yes,TensorFlow
2023,Data Analyst,USA,Freelance,Mid,125478,Yes,PyTorch
2023,AI Engineer,UK,Big Tech,Senior,193068,No,Python
2026,ML Engineer,USA,Big Tech,Mid,129366,Yes,SQL
2026,NLP Engineer,UK,Big Tech,Entry,46003,Yes,SQL
2023,Data Scientist,India,Startup,Senior,53360,No,SQL
2026,AI Engineer,Germany,Big Tech,Mid,112765,No,TensorFlow
2024,NLP Engineer,India,Big Tech,Entry,20307,No,SQL
2024,AI Engineer,India,Startup,Senior,51825,Yes,TensorFlow
2026,NLP Engineer,Canada,Freelance,Mid,80486,No,SQL
2025,NLP Engineer,UK,Big Tech,Senior,187029,No,PyTorch
2025,ML Engineer,Germany,Startup,Entry,61399,Yes,NLP
2022,Data Scientist,USA,Startup,Mid,149782,Yes,Python
2023,Data Scientist,UK,Freelance,Mid,70357,No,PyTorch
2022,Data Scientist,Canada,Freelance,Mid,70260,No,NLP
2024,Data Scientist,Canada,Freelance,Senior,206565,Yes,Python
2022,NLP Engineer,UK,Startup,Entry,59951,No,TensorFlow
2025,Data Scientist,Germany,Big Tech,Mid,83531,Yes,TensorFlow
2022,Data Scientist,USA,Big Tech,Mid,125087,Yes,Python
2023,Data Scientist,India,Big Tech,Senior,70490,Yes,NLP
2022,ML Engineer,UK,Freelance,Senior,135356,Yes,TensorFlow
2026,NLP Engineer,USA,Startup,Mid,95648,Yes,PyTorch
2022,AI Engineer,UK,Freelance,Entry,62851,No,NLP
2024,Data Analyst,UK,Freelance,Senior,185739,No,Python
2022,Data Analyst,UK,Startup,Mid,121436,No,TensorFlow
2022,AI Engineer,India,Big Tech,Entry,17327,No,SQL
2026,Data Analyst,USA,Freelance,Mid,138754,Yes,TensorFlow
2023,Data Analyst,UK,Freelance,Mid,92001,Yes,Python
2024,Data Analyst,Germany,Big Tech,Entry,31551,No,PyTorch
2026,NLP Engineer,Canada,Big Tech,Entry,24979,Yes,NLP
2026,AI Engineer,India,Startup,Mid,34165,Yes,NLP
2023,NLP Engineer,Canada,Startup,Senior,148463,No,TensorFlow
2024,Data Analyst,UK,Startup,Entry,53334,No,PyTorch
2022,AI Engineer,Germany,Startup,Senior,176455,Yes,PyTorch
2022,ML Engineer,Germany,Startup,Mid,126670,No,TensorFlow
2025,AI Engineer,India,Freelance,Senior,56406,Yes,PyTorch
2024,ML Engineer,India,Big Tech,Mid,39096,Yes,TensorFlow
2025,AI Engineer,India,Big Tech,Entry,22780,Yes,NLP
2022,Data Analyst,UK,Big Tech,Mid,125038,No,PyTorch
2023,AI Engineer,UK,Big Tech,Senior,162503,No,Python
2025,NLP Engineer,India,Freelance,Mid,37280,No,NLP
2022,AI Engineer,Canada,Freelance,Senior,195953,Yes,TensorFlow
2023,NLP Engineer,USA,Freelance,Senior,184250,No,Python
2022,Data Scientist,Germany,Startup,Senior,173848,Yes,PyTorch
2024,Data Analyst,India,Freelance,Senior,57042,Yes,PyTorch
2022,AI Engineer,India,Startup,Entry,11713,No,PyTorch
2023,NLP Engineer,India,Big Tech,Mid,35486,No,TensorFlow
2022,AI Engineer,USA,Freelance,Entry,27924,Yes,SQL
2023,NLP Engineer,UK,Freelance,Entry,45860,No,SQL
2025,ML Engineer,UK,Freelance,Senior,134104,Yes,PyTorch
2026,Data Analyst,India,Startup,Senior,55296,Yes,NLP
2022,NLP Engineer,UK,Big Tech,Mid,98984,No,PyTorch
2026,AI Engineer,Canada,Big Tech,Senior,146608,No,TensorFlow
2025,NLP Engineer,UK,Freelance,Senior,174544,Yes,SQL
2024,Data Scientist,UK,Big Tech,Entry,35195,Yes,NLP
2025,Data Analyst,Canada,Startup,Senior,151998,No,NLP
2023,NLP Engineer,UK,Big Tech,Mid,79487,No,NLP
2022,AI Engineer,USA,Big Tech,Entry,42623,No,PyTorch
2025,Data Analyst,India,Big Tech,Entry,10166,Yes,TensorFlow
2022,AI Engineer,UK,Freelance,Mid,122282,No,NLP
2026,Data Scientist,Canada,Startup,Mid,131047,Yes,PyTorch
2026,ML Engineer,India,Startup,Senior,70932,Yes,PyTorch
2024,AI Engineer,USA,Big Tech,Entry,46186,No,NLP
2025,ML Engineer,Canada,Startup,Entry,38596,No,NLP
2024,NLP Engineer,Canada,Startup,Mid,90805,No,NLP
2022,ML Engineer,India,Startup,Mid,42387,Yes,SQL
2023,AI Engineer,UK,Freelance,Mid,76248,No,PyTorch
2025,Data Analyst,USA,Freelance,Entry,60321,No,TensorFlow
2025,Data Analyst,Germany,Freelance,Entry,28714,No,Python
2026,Data Analyst,UK,Big Tech,Entry,57663,No,TensorFlow
2026,NLP Engineer,UK,Freelance,Mid,130458,Yes,Python
2022,Data Analyst,USA,Startup,Entry,63596,No,SQL
2023,AI Engineer,UK,Big Tech,Entry,47983,No,SQL
2022,Data Analyst,Germany,Freelance,Senior,179252,Yes,Python
2022,ML Engineer,India,Startup,Entry,23562,No,Python
2022,AI Engineer,USA,Big Tech,Senior,162033,Yes,PyTorch
2022,Data Scientist,USA,Big Tech,Mid,89681,Yes,SQL
2022,NLP Engineer,Canada,Startup,Senior,164467,Yes,SQL
2025,NLP Engineer,India,Startup,Entry,10633,Yes,NLP
2025,AI Engineer,India,Big Tech,Entry,14495,Yes,SQL
2026,NLP Engineer,Canada,Freelance,Senior,190038,Yes,TensorFlow
2023,NLP Engineer,Canada,Freelance,Entry,52523,Yes,SQL
2025,Data Analyst,USA,Startup,Mid,84048,Yes,TensorFlow
2024,ML Engineer,India,Freelance,Mid,38322,Yes,PyTorch
2022,Data Scientist,Canada,Startup,Entry,42759,Yes,PyTorch
2026,AI Engineer,Canada,Big Tech,Mid,75211,Yes,TensorFlow
2022,AI Engineer,USA,Freelance,Entry,39236,No,NLP
2022,AI Engineer,India,Freelance,Entry,9517,No,Python
2025,NLP Engineer,Canada,Startup,Mid,78001,Yes,Python
2023,Data Analyst,Germany,Freelance,Senior,158807,Yes,TensorFlow
2022,Data Scientist,Germany,Big Tech,Mid,70603,Yes,PyTorch
2025,NLP Engineer,Germany,Startup,Mid,78029,Yes,TensorFlow
2022,NLP Engineer,USA,Startup,Senior,159751,Yes,SQL
2022,Data Analyst,Germany,Big Tech,Entry,34900,No,SQL
2024,ML Engineer,India,Freelance,Mid,45652,No,Python
2026,Data Scientist,UK,Startup,Senior,136968,No,TensorFlow
2024,AI Engineer,USA,Freelance,Mid,109430,No,NLP
2024,NLP Engineer,UK,Big Tech,Mid,101565,Yes,NLP
2023,ML Engineer,USA,Big Tech,Entry,45849,Yes,TensorFlow
2022,Data Analyst,Germany,Startup,Entry,60193,No,Python
2023,AI Engineer,USA,Startup,Entry,70280,No,PyTorch
2022,NLP Engineer,USA,Freelance,Entry,59597,Yes,PyTorch
2023,ML Engineer,Germany,Big Tech,Mid,116514,No,TensorFlow
2025,AI Engineer,UK,Startup,Entry,31812,Yes,SQL
2022,ML Engineer,India,Big Tech,Mid,27164,No,SQL
2025,AI Engineer,India,Big Tech,Entry,10370,No,NLP
2022,ML Engineer,Germany,Startup,Entry,39893,Yes,TensorFlow
2024,ML Engineer,USA,Big Tech,Mid,141733,Yes,Python
2025,Data Scientist,UK,Startup,Entry,26445,Yes,SQL
2023,Data Analyst,Germany,Freelance,Senior,174252,No,Python
2022,Data Scientist,UK,Freelance,Mid,72629,No,Python
2022,Data Analyst,USA,Startup,Senior,217718,No,PyTorch
2022,Data Analyst,India,Startup,Mid,47810,No,TensorFlow
2025,ML Engineer,USA,Freelance,Senior,181142,No,PyTorch
2026,Data Analyst,USA,Startup,Mid,89690,Yes,NLP
2023,NLP Engineer,USA,Big Tech,Senior,202390,No,TensorFlow
2026,NLP Engineer,Germany,Big Tech,Mid,67878,Yes,Python
2024,Data Scientist,India,Freelance,Mid,30101,Yes,SQL
2023,AI Engineer,Canada,Freelance,Entry,39535,No,TensorFlow
2023,ML Engineer,UK,Freelance,Mid,131887,Yes,TensorFlow
2026,NLP Engineer,UK,Freelance,Entry,57483,Yes,PyTorch
2022,Data Scientist,USA,Startup,Senior,200851,No,Python
2024,NLP Engineer,UK,Startup,Mid,123845,No,Python
2022,ML Engineer,Canada,Freelance,Entry,31359,No,Python
2024,Data Analyst,Canada,Startup,Mid,93313,Yes,PyTorch
2025,AI Engineer,UK,Freelance,Senior,179977,Yes,PyTorch
2024,AI Engineer,UK,Startup,Senior,173295,No,NLP
2022,ML Engineer,Canada,Big Tech,Senior,180622,Yes,PyTorch
2023,AI Engineer,USA,Startup,Mid,92302,Yes,TensorFlow
2025,Data Scientist,Germany,Startup,Entry,26886,Yes,Python
2022,Data Analyst,India,Freelance,Mid,47187,No,PyTorch
2024,NLP Engineer,India,Startup,Mid,41064,Yes,SQL
2025,Data Scientist,USA,Big Tech,Entry,53153,Yes,TensorFlow
2023,Data Analyst,UK,Freelance,Entry,61436,No,NLP
2026,Data Analyst,USA,Big Tech,Senior,231803,No,SQL
2022,Data Scientist,Germany,Startup,Entry,51504,No,TensorFlow
2024,ML Engineer,USA,Startup,Mid,124828,No,SQL
2022,AI Engineer,USA,Big Tech,Entry,51093,No,SQL
2022,Data Scientist,UK,Startup,Senior,166138,Yes,TensorFlow
2025,Data Analyst,India,Freelance,Mid,40826,No,SQL
2024,Data Analyst,Germany,Startup,Mid,84980,No,TensorFlow
2023,AI Engineer,Canada,Startup,Entry,30287,No,NLP
2025,NLP Engineer,UK,Freelance,Entry,49905,No,NLP
2025,NLP Engineer,UK,Big Tech,Mid,94460,Yes,NLP
2026,NLP Engineer,Canada,Freelance,Senior,195066,No,SQL
2023,ML Engineer,UK,Startup,Entry,52520,No,SQL
2023,NLP Engineer,Germany,Big Tech,Senior,159977,No,NLP
2024,AI Engineer,Canada,Big Tech,Entry,67283,No,Python
2025,ML Engineer,UK,Freelance,Senior,139222,Yes,NLP
2022,AI Engineer,Canada,Big Tech,Mid,97868,No,NLP
2026,Data Analyst,USA,Startup,Mid,90255,No,Python
